timestamp,trajectory_command__traj__x,trajectory_command__traj__y,trajectory_command__traj__vel,trajectory_command__traj__accel,trajectory_command__traj__degrees,trajectory_command__traj__time,trajectory_command__hc_vy,trajectory_command__hc_vx,trajectory_command__hc_omega,drivesubsystem__odometry_x,drivesubsystem__odometry_y,drivesubsystem__gyro_rotation2d__deg_,drivesubsystem__odometry_rotation2d__deg_,talonfx_10__closed_loop_setpoint__pid_0_,talonfx_11__closed_loop_setpoint__pid_0_,talonfx_12__closed_loop_setpoint__pid_0_,talonfx_13__closed_loop_setpoint__pid_0_
2259,0.19564675760576086,0.05236456381813065,1.0025555270265014,1.3087985252866305,29.18331791336009,0.33379000000000814,0.5968063162648418,1.017912783701404,-0.011780909200885835,0.169358900078048,0.03552887038172807,-0.2199993133544922,-0.26999855041503906,5298.0,-5263.0,-5312.0,5277.0
2263,0.19564675760576086,0.05236456381813065,1.0025555270265014,1.3087985252866305,29.18331791336009,0.33379000000000814,0.5968063162648418,1.017912783701404,-0.011780909200885835,0.169358900078048,0.03552887038172807,-0.2199993133544922,-0.26999855041503906,5298.0,-5263.0,-5312.0,5277.0
2269,0.19564675760576086,0.05236456381813065,1.0025555270265014,1.3087985252866305,29.18331791336009,0.33379000000000814,0.5968063162648418,1.017912783701404,-0.011780909200885835,0.169358900078048,0.03552887038172807,-0.2800006866455078,-0.26999855041503906,5298.0,-5263.0,-5312.0,5277.0
2274,0.19564675760576086,0.05236456381813065,1.0025555270265014,1.3087985252866305,29.18331791336009,0.33379000000000814,0.5968063162648418,1.017912783701404,-0.011780909200885835,0.169358900078048,0.03552887038172807,-0.2800006866455078,-0.26999855041503906,5298.0,-5263.0,-5312.0,5277.0
2279,0.21353198714998023,0.06287124639580588,1.0292785753157916,1.3087985252866305,31.671490985184448,0.35420799999999875,0.6526589147827164,0.9937787302178129,-0.014398963000001853,0.19126596627220008,0.045425630728051815,-0.2800006866455078,-0.32999992370605463,5339.0,-5298.0,-5358.0,5317.0
2283,0.21353198714998023,0.06287124639580588,1.0292785753157916,1.3087985252866305,31.671490985184448,0.35420799999999875,0.6526589147827164,0.9937787302178129,-0.014398963000001853,0.19126596627220008,0.045425630728051815,-0.3299999237060547,-0.32999992370605463,5339.0,-5298.0,-5358.0,5317.0
2289,0.21353198714998023,0.06287124639580588,1.0292785753157916,1.3087985252866305,31.671490985184448,0.35420799999999875,0.6526589147827164,0.9937787302178129,-0.014398963000001853,0.19126596627220008,0.045425630728051815,-0.3299999237060547,-0.32999992370605463,5339.0,-5298.0,-5358.0,5317.0
2293,0.21353198714998023,0.06287124639580588,1.0292785753157916,1.3087985252866305,31.671490985184448,0.35420799999999875,0.6526589147827164,0.9937787302178129,-0.014398963000001853,0.19126596627220008,0.045425630728051815,-0.3299999237060547,-0.32999992370605463,5339.0,-5298.0,-5358.0,5317.0
2299,0.23085251357838932,0.07414734735684489,1.058666791339836,1.5046771915223651,33.99991688525747,0.3740109999999986,0.7089140515293275,0.9765503687568001,-0.01658059127548114,0.21192438030014202,0.056062796463915356,-0.3899993896484375,-0.37999916076660156,5419.0,-5373.0,-5442.0,5396.0
2304,0.23085251357838932,0.07414734735684489,1.058666791339836,1.5046771915223651,33.99991688525747,0.3740109999999986,0.7089140515293275,0.9765503687568001,-0.01658059127548114,0.21192438030014202,0.056062796463915356,-0.3899993896484375,-0.37999916076660156,5419.0,-5373.0,-5442.0,5396.0
2309,0.23085251357838932,0.07414734735684489,1.058666791339836,1.5046771915223651,33.99991688525747,0.3740109999999986,0.7089140515293275,0.9765503687568001,-0.01658059127548114,0.21192438030014202,0.056062796463915356,-0.3899993896484375,-0.37999916076660156,5419.0,-5373.0,-5442.0,5396.0
2314,0.23085251357838932,0.07414734735684489,1.058666791339836,1.5046771915223651,33.99991688525747,0.3740109999999986,0.7089140515293275,0.9765503687568001,-0.01658059127548114,0.21192438030014202,0.056062796463915356,-0.43000030517578125,-0.37999916076660156,5419.0,-5373.0,-5442.0,5396.0
2319,0.24822709873912574,0.08641587928343246,1.0907462079421282,1.6767336457526463,36.260464224997996,0.3938139999999985,0.7648483198438704,0.9589376833299873,-0.02094393105022378,0.23238406048045518,0.06798118370871258,-0.43000030517578125,-0.4799995422363281,5509.0,-5453.0,-5540.0,5484.0
2324,0.24822709873912574,0.08641587928343246,1.0907462079421282,1.6767336457526463,36.260464224997996,0.3938139999999985,0.7648483198438704,0.9589376833299873,-0.02094393105022378,0.23238406048045518,0.06798118370871258,-0.43000030517578125,-0.4799995422363281,5509.0,-5453.0,-5540.0,5484.0
2329,0.24822709873912574,0.08641587928343246,1.0907462079421282,1.6767336457526463,36.260464224997996,0.3938139999999985,0.7648483198438704,0.9589376833299873,-0.02094393105022378,0.23238406048045518,0.06798118370871258,-0.46999931335449224,-0.4799995422363281,5509.0,-5453.0,-5540.0,5484.0
